target_id,temporal_cutoff,sequence_length,normalized_sequence_sha256
2OM7_B,2008-01-15,10,014fe176bf4b4f08b360a822835e0d9ea282f62e373e688a8fe427289bb3911c
2OM7_C,2008-01-15,96,2790ea9acdaf1eeac55d17bc29cb52ec99c5a14e1ce19c7f07ae3e3bb5d2b852
2OM7_D,2008-01-15,13,56522e045c027b733489b2a10e339959a5467ef77081dfd8114ccd0880b99fce
2OM7_F,2008-01-15,29,042eca2b36b40de21fc1fe2fc746af781ad912c824e5d7d47ec9d8f5695e7f3b
2OM7_G,2008-01-15,54,d418d636bf7a48a8866afabad0512a183584f34de4f19ac4958481e867d71953
2OM7_H,2008-01-15,42,979dcb56eb7bc4d0befe930fca5ae91d87d16402770f4ab8c03b6002e0b9f794
2OM7_I,2008-01-15,58,a9f9016afb5b7aba65238efe91487ee715d2fc2f6ecad6c1688fc0424e6e9ebd
2OM7_J,2008-01-15,102,2e4a0eb8efb263eb6d0d491865bf193a0d16f78abec80969f8a602da041a95d7
2OOM_A,2008-01-29,16,671d9c4364395c2ee9b81d295e87e74104ea67887168a6e1f3262d5337d06167
2OOM_B,2008-01-29,16,6df220f6d09a7d5656cd5a8de4ec30ca16db75a4916fb14388ec5d38f1a9138b
2OZB_C,2007-03-20,33,e1a425a9090371d8d98c4d0abc210a384e1f17b68aa3d9c22b5d2be25781927f
2PCW_A,2007-05-08,35,e07730843219d90b9a65edf4533354e299b43bf9b087efba73a64217b23dc185
2PXB_B,2007-08-07,49,3dea0c1f224dd0b4a0fa0dfe293f9bf6f9a38c7eca55e73a537d9b4f3d9bd7aa
2PXD_B,2007-08-07,49,ad2b3b0735d88feade4b9649b69cdf559689f389fd22ec87a19bc7cff5aa506c
2PXE_B,2007-08-07,49,437e09050053f14ac6c99c58e32809da0d8b614bb390031e037467f9aaf7a7aa
2PXF_B,2007-08-07,49,d317c7385a488c3d259c746a29dbfe183b412bc2bc3c19400bb2635cf92a2eb8
2PXK_B,2007-08-07,49,f82a2a6b0bdd5f311a2503fa42ab9d8e06cba2226b060c1aaaf2383493a2ff94
2PXL_B,2007-08-07,47,a8c185abe6c5bb3def145f19fc7ab79460862befd07eeff23d4895ccad346e6b
2PXP_B,2007-08-07,49,def6a1c0ce294324fc2749769533f902a54dbb14ba4bd02acb285359dae80d23
2PXQ_B,2007-08-07,49,4906b89da99afc0d4da16a6fdc08a3f35e215b9f0b340bba39201f9d0c50a18f
2PXT_B,2007-08-07,49,6064e3b971d56c67ab7852abfd8fe4ab83a8f70928eaae7b058b4ce98b5c8f7f
2PXU_B,2007-08-07,49,41b31a9ddbd1636919f577fc8268695985b302bb5c57f82ed1edf7cb78a88d57
2PXV_B,2007-08-07,49,4afb0ebea7b38c82f12d8a0b426f08791c421285ed2ddd67e66bd154cbad9f61
2QBZ_X,2007-09-18,161,d87aaaeb7468b93dc1c31e378c6da59fe1665579564c2aa3c021905109cccecc
2QH2_A,2007-09-25,24,d963c7c4eebf8c38a350021e9084335c79753cf70d154a40f4b1eca3092122d4
2QH3_A,2007-09-25,23,02f6d998e6e5f5036999717de14543aa2dc378517a15d62b3395dad733daebd8
2QH4_A,2007-09-25,18,c983fa01ed86e1ef5f51c6b02ee73f4f54083412802460e8a4070c942b284ac4
2QUS_A,2008-07-15,69,9402b0d0b9ee844dfd8ff55353aac53b7c21c4062449a27832b323425ae35f22
2QUW_D,2008-07-15,57,0186c0dcbfb8a8a0bc74cacbc8f3f11ae47cf598c5fcba26e13043235f91f243
2QUX_I,2007-12-18,25,9cd65784dd15ad649c0adc7665b883e0cd57dbd96e360c1ebef4ee264e141988
2QWY_A,2008-01-22,52,26d0c56b2f35c364515fe0aaddaef6572475993c96d3080acfa2957745972e5a
2R8S_R,2007-12-04,159,ea56a1a511b6167794d026649894403dabdbbe36b139ffecf8d8c16d58fcd1f4
2R93_R,2007-11-27,18,14a010a2ac188831e9cde31ec72da9d78e910cfb94d34feb5971eb4e31112392
2RKJ_O,2008-01-08,246,119d1a8fc269d631a8311b904420fb6c71cbd8c32b5451508a406e3205059442
2RLU_A,2008-02-26,19,d49a73738d3bb6b661a9e8b851e9295f823b558a45e879bebabdd4ada430e50f
2RN1_B,2008-09-23,16,fb49776fbc895d998384cf062a6b68bf397c45497ff50c549d077f1cb24961dc
2RO2_A,2008-12-30,23,e38f5c86e19cce2d9951aaab14534e3a7d712b179c1a3519217a2c199ee3cc24
2RP1_A,2009-03-31,27,2fd7c7f9e3f3e2d9ca60e4cf8f3ffee438589203de67fdb2ab9b5b4a1c45943b
2RPK_A,2008-12-30,20,b92479136b87ecc6143496415b08e1ce7e8c51ec9b6e182a2d1bd377ad380073
2RPT_A,2009-08-25,20,0327384c18e6053dff59975dfdafb0758840f76c2efacc147995ec0fe21d4b3a
2RQJ_A,2009-11-17,12,caf31e1aa150cd2e14a2981c3cd74e18a8a0d33973b7f09142ddf724948ee720
2RRC_A,2011-06-29,22,bb34d4145a1098989ddbc5cbe8be07f31df297d0fa497f607288ab6d6ba618f7
2RVO_A,2017-02-08,34,802f4213aea1d9dc9134a33a1d48916bfe05c60d5b282be81023426ea3ddd460
2TOB_A,1999-06-22,20,9b738381504299b53a6a11619c5cb17dc6df814d2b9e1d427bbfe374c769eacc
2TPK_A,1998-11-04,36,5b1f1da2157099831ff70e8671ac69f13acde9457a239305b99813de05863e2a
2TRA_A,1987-11-06,75,5c75aee225e2a845d327e94bf67b43c27b4c214df2bfd57e7870893c2a418cde
2UUC_Y,2007-05-22,11,2db194770fcf22d2bf74cb1b78793207bb7ff82d85d43f71afedd9c46d823b54
2UWM_C,2007-05-08,23,d7c16c2dd0023790118c70042b64da1068fe949307ed13c186aa9592ef053e3c
2UXD_A,2007-10-02,1484,9d389ccb53f72a61bdb7f20206e5b46cdca4f8f66b140568babb2723064a985d
2V0G_F,2007-07-03,83,aab39babc475e6262929b82daf73c747cac795209d6119dd0fdf90186e905179
2V3C_M,2007-09-04,96,e9d84bb6b77c956ba7d753c6398810078d7482ca82caa820b3eb36bfe637c168
2VPL_B,2008-09-23,48,644e07b5748507028722cd3aeadc9a3018cc5a5ee99d9d7f6bf0a7dcf4cd502f
2VPL_D,2008-09-23,48,644e07b5748507028722cd3aeadc9a3018cc5a5ee99d9d7f6bf0a7dcf4cd502f
2VWJ_B,2008-07-22,26,00a2e1b5589546d33c5cca424a79ce97e6acb5c75f15e4669c8945f73fae4299
2W2H_S,2008-12-09,22,bfa63b2daf7ea4c2082228a6c6aef0cd81fa8a7af0b9d95997953e5713cf54a2
2WW9_D,2009-12-08,63,4e1294cf55bd754c197bef5ff4d7c91274982b7b28ef1dd7b114fefe6aaa9f2b
2WWA_E,2009-12-08,34,4e465dacc41133256c4153ea8b8cf910fcb143d3c4ab21c1c43933b21ac8a0b4
2WWA_G,2009-12-08,18,387e0d544d10d1c522b1ec6eab1bbad55ca0c5f470cf91f39c639584bdfd248b
2WWB_F,2009-12-08,25,edeec028542870caaa0314149e1f9dc8aaba21ec0a71c9de2f42645749900163
2WWB_G,2009-12-08,14,5f286d541fc9c012a0577feee915c1080a3d92e2452c277256fb154198dfaa69
2WYY_S,2010-02-16,45,e84ab0fd04f65ed1235e91c2ce1629ff1ee71c46a56f8b8c57cee1a0d9aed7a6
2X7N_A,2010-03-31,28,8911e749814be62e0b6a208eed90f7ff0c6d22d11507f134889c81e65f770273
2XDD_G,2011-01-12,36,afe9364a322286abe3058d93ee9300c9105f26c4dd0dbd466e651c059f65f714
2XEB_A,2010-05-26,19,1c49bbcb9bd14cfcb40a9e53897e2cb7392fbb915c55916c911b3e4c50ece39c
2XHB_D,2010-07-21,19,b9fd32f73ee928c5ebae38d61da5c7bc45998507884532044cb38d3b6494971c
2XKV_B,2010-12-15,114,f50ecd371608ab530f0832ebc35f4919677bea5f2749c74d09e6af66a555dd80
2XNW_A,2011-04-06,67,7892d875b55547edc8377abc51ea23862c54df6325a87441a1191b8a28277ddb
2XO1_A,2011-04-06,67,e80b977665a2faf8020c0ceb3eec54ac470e95d1518e5e9a748d7502d7181607
2XXA_F,2011-03-02,106,15d91f049c7db26558295eb81e324082eaf32a1fca3259192b3c50652711aee0
2Y8W_B,2011-05-18,20,c1fb791a0a009332773d8ec32ed466e3d907e11ceb64b15953c7a5b09e891d79
2Y95_A,2011-10-26,14,4cac05a20bca3f9be28b449912df9cd5811fdadfb9b9dd26f4476feb679408d5
2Y9H_L,2011-05-18,19,27fd5348b3dec1a470d46705c5182c4c7965af55e305f45e6034f6354eab37f8
2Y9H_N,2011-05-18,19,27fd5348b3dec1a470d46705c5182c4c7965af55e305f45e6034f6354eab37f8
2YDH_A,2011-09-07,94,f9ceef20be9cdb7524078943f4b9381bd785f3c05916f5a36a59b175eb6d05c0
2YGH_A,2011-09-07,95,4bd2ad4e73fe87b626bd080886f07870d9abba03c1e50e03ed0bc57b1f572742
2YIE_X,2011-08-31,54,1f42c7b1af9857be1a48cb75d970d0ab0b87c292c75df9e250caa1aeb397f2ed
2YIE_Z,2011-08-31,57,ec78ed4d2c5b12c1f6c6dbc3d1f2e0e615fe4d7dbc0709828a10fdd967989cec
2YIF_X,2011-08-31,54,1f42c7b1af9857be1a48cb75d970d0ab0b87c292c75df9e250caa1aeb397f2ed
2YJY_D,2011-06-08,10,0bbcbbb48a0967d1c4fdcd086067f6fd1b6ca179aae2754c6ce541aafb9bb656
2ZH1_B,2008-08-05,33,920cbbd5dd7e5fe68b0d150ac6f82fae29bfdb8aea01e7d8a09ea93f8dee7cad
2ZH2_B,2008-08-05,34,c3c560d54a3a55736d275faa9048e832a3e1bfeb9b6c31cde33d89752ca4e7b3
2ZH3_B,2008-08-05,34,351e0cf3334370545517acfc8dad10dab3e42b824d2c45e5ec715f7b20ccb7a7
2ZH4_B,2008-08-05,34,06a1bf1eb73727aa6df5eee90cdcd610c380e6368bcf4d9a026050431c4ddb7d
2ZH5_B,2008-08-05,34,c9b37b72cd60a94aa78cdf1ea3a420da377a63464ab71cc9e18bea2d89aafec8
2ZH7_B,2008-08-05,33,3be9b954680398099d02e681d6f5cc55c0c52e5af1628872cb7a566f74c0403f
2ZH8_B,2008-08-05,34,4482a69498ca53440f03834c3bafbacbe3e1d2c123e2af3688aff922062d296d
2ZH9_B,2008-08-05,33,d0386e4d53535777e235d5e59bc898f1d80d49a4b405851ad4e70742236f4189
2ZHB_B,2008-08-05,34,7df695c4f1d1a635020f2a80e40fcfe62addcb5b48a9eee8020db597fd3da2ba
2ZJQ_Y,2008-06-17,122,f795f3dd4ffb8a2729af51bc2675db874dc554cf652ec5b6b62cb223dc21acf0
2ZJR_X,2008-06-17,2686,ab6bb171147d1326a3b6a4b4815e2dd2fd260525d00c28dbef5cb6cbacf7f1b2
2ZM5_D,2009-04-14,76,8f304d38480c65a1254057127092e2f589f114c63a6df70f7c36c6f95255ecad
2ZM6_A,2009-04-14,1506,57a0c4bb1234decbe3da2c91fcca6a6ce387f241967552d924d65fd888ed05e7
2ZNI_D,2008-12-30,72,59444de29228a42a2498cef1a83812ab982c8f5696764c08dee5a6ca04582b8b
2ZUF_B,2009-08-18,78,65888b31dbb1f045fbc854dad93a23339c6235075432932180555d61e46d2e3d
2ZY6_A,2009-06-30,39,a48409b62e116026e82a0b8b002871e843f9013fb886ef12e33a1a9b78fb7785
2ZZM_B,2009-09-15,88,4e7d645cd0b3ba5055a77742a93f1582bedee49e67152955ba11e98dea5bd56c
2ZZN_C,2009-09-15,75,a536f7c81698b05a3365ace6590471cb00691fe989a4fc223c4ed003b4f8ca0c
361D_A,1998-07-01,20,aa9f2c6831867ea62db0c10239678947b4cf3a1112c89dc0e2667df2a9dc78fc
387D_A,2003-08-26,26,123b90c2e781a44b34a827ff98a031da0411f8b0ed4cac8a7194cc8314c0817b
397D_A,1998-09-11,15,2a22a75026a99f2715a535a67c42bc7d1ea9bae54ca13eece4e28a429bea619c
3A2K_C,2009-10-20,77,31d63a9a546d495c93040d7a6c4504b297539c7ab8565481854eb9ce06bacbdf
3A3A_A,2009-08-11,90,4257b9c5bad2cfa8a7feb7eda5486d102096f6e01b11e1c4f591dafa12594d14
3ADC_C,2010-07-28,92,7832c7efcdf4b8312403b92cfedcf96509a0afc22bbf20ae3c9beefca0ebceef
3ADC_D,2010-07-28,92,7832c7efcdf4b8312403b92cfedcf96509a0afc22bbf20ae3c9beefca0ebceef
3ADD_D,2010-07-28,92,7832c7efcdf4b8312403b92cfedcf96509a0afc22bbf20ae3c9beefca0ebceef
3AGV_S,2010-11-10,10,f5e5363f6d4bd1a007dc1870d82e89e3ff8f7ae7a21115037e2520a33ce69b84
3AGV_U,2010-11-10,15,1c5b20e42e27ffe302bfeab7e8014c1477f5e760f64f004ef99e48799468e6d1
3AKZ_H,2010-09-29,74,1d9cfe0a88bc23b093aba65cd329007bbb22d386f97c418b7a772dd42f0da1b9
3AM1_B,2010-12-29,81,008c6f793f242277bf0791d89ab24a2aaa1b9bf6e96dff1a8806e5290b2b1a7a
3AMT_B,2011-10-19,78,758b866cbb54d9ee96622af79c52ef9ddf8db383376df738be5007107a1ca7bc
3B0V_B,2011-12-14,76,2f52d24ffa3cc4ddf79e74e27b6101d3cc0055ca2b09854d1c0bda3843fd7799
3B4A_B,2007-12-11,125,b437fb4fee87890d2ef9b00fefaa063f74bc1ff355fcf91c5a001591748095f8
3B4B_B,2007-12-11,125,b437fb4fee87890d2ef9b00fefaa063f74bc1ff355fcf91c5a001591748095f8
3B4C_B,2007-12-11,125,b6c600f87b4a1be9215be908e3dd38d2b31649995801877526bd9223bb5c7df8
3BBM_B,2008-08-12,30,aa0f4a19a9e82405d365de1bac6a9db30fe47f220395e43e97a8169dae30334e
3BBV_z,2008-10-21,76,8f304d38480c65a1254057127092e2f589f114c63a6df70f7c36c6f95255ecad
3BBX_B,2008-10-21,2902,219d88ad78a190059b66082c622ce7d9fe325f704cc97d3d2f5930eb725e1025
3BO0_D,2008-12-09,27,c2071688c80d133ecce617c1a876889bc8ab34766e9310dcd91d6edb68c01572
3BO0_E,2008-12-09,27,34393124bd03a04e13c31e976a9da0ba046b60061a6004a72ac3cfa3570ec5ee
3BO0_F,2008-12-09,19,3d15a24740be743ed86aad98b77fab28e25feaef80ce688d52e0d60c307cdd86
3BO1_G,2008-12-09,32,b17c134607c5668edfce7f5da871ada10cc653adf1913ade81fb11d994cd2cd6
3BT7_D,2008-04-29,19,11bff6664cd74fdf0192dbbf7d26bbd8b00f8e7e00e0fd67dc7eba0e6b9ec902
3BWP_A,2008-04-15,412,36270eceaaba3218d40b6a474d13d73bd03596b72f22af5942c2eca5ac828aba
3C2P_C,2008-12-09,20,c21ef14b780ae3c644fa7275abee9ae916ba346fac5550124f264464a1166b74
3C2P_D,2008-12-09,19,6c755c97804bf4393a9f7241c36b505f0221c180d7e8d1abe1ff262ff8525b5d
3C3L_C,2008-12-09,19,8a32ac8a87c735edda07e4b933cde1ebe0ac5f21721fa18b7f8c16429af1e73b
3CC7_0,2008-05-20,2749,a50940d03cb37241ea9c84ae21319353e7d016c9ba9716345f6eadbef15ae5c7
3CCE_0,2008-05-20,2749,60a2726cd397d6d884e14308503891845bd30a64a8312359545e1feb810511e4
3CCJ_0,2008-05-20,2749,66ce74d3f074a2bdfb7bd1b0fc61c58091b33e3087b6f9fd697941c97012873b
3CCL_0,2008-05-20,2749,58e654aaf4eec28042ca503e1a683585dcaca053c20fcb5f5b3ce01e4579a9cc
3CCM_0,2008-05-20,2749,5d16dd31fceb27e97b4b912f3bd96a4560a4f10a2e12b789ab0d773aa3f819fc
3CCQ_0,2008-05-20,2749,b202092555c4ace8b9662944111192e93d9a91f9da45b4366ab2e7333b18f6a8
3CCR_0,2008-05-20,2749,ad33e64df28fba14b0f95ce7bfd069fe043f245a5066959d9e54b4304f352ab1
3CCS_0,2008-05-20,2749,a98b59572ff1ae947df1b42a585e3cfae2969b9fff35204a551886456f2fb947
3CCU_0,2008-05-20,2749,345d8b92a5fd3ad3ae14a3a7bf0f6192374ea3ed120f6d82951ba95df61c5739
3CCV_0,2008-05-20,2749,94bceaa58c39b84284bc53b7fcc39bd4a9a0f20f1cd2bcd210d691721fa8e134
3CCV_9,2008-05-20,122,d61146e1d049797c442ce6e9c911bc272ee9b912bbcd734a233692a48ba6b452
3CPW_0,2008-07-22,2754,9e668af4c7d072e8654de394af0033a573296cf1d89e8b91922f3010832dfb73
3CUL_C,2008-06-24,92,1e7ad3a28ddb4f60dab123026a334aa51b6737b0924c5a5d5b76fd75ef73c9f3
3CUL_D,2008-06-24,92,1e7ad3a28ddb4f60dab123026a334aa51b6737b0924c5a5d5b76fd75ef73c9f3
3D2G_B,2008-07-01,77,aa3a7fd94c15224490e18845b7468593fb38d62d9cc470a7260332040ab85c16
3DD2_B,2008-11-11,16,90bb28063352a8a9fddfe7ca9a94230871be65d5d4cd8ad4dae62f08ab730a28
3DEG_E,2008-08-19,16,91f3c94c0601071e35cdfbae2c4436c9a858c291dd51a085a51903849bcc7ced
3DEG_G,2008-08-19,70,11a67222c24d0d79efd1db1ce3eaa831d90c6fa5ec25ed2f0f55fd6fc48fbf72
3DEG_I,2008-08-19,29,ad9729d0903c88dd4f13fcf782c7a72c4ce49ad9142a844f6e67b87ca1093e6c
3DEG_J,2008-08-19,18,dbc835cc9b0a937bd1a6f6b4f317eea34fe5e17bbaee315807f3d006b83b87a1
3DEG_K,2008-08-19,15,4714b978999ddaea9b40c8518eff00525f1310975c5ad4cb23faf7e28d0db375
3DH3_G,2009-04-28,22,5e5ff67c4bdc4dd6d62a957fc65f492376b3b58d7b17715a415d29d442d5c163
3DHS_A,2009-01-27,268,b0676956646dc941ee9145f6c0b218e277f6eb62713d8a52a2d613b99c158b66
3DIR_A,2008-09-16,174,482fc3414774e7e921c9b38d3d218205c6150765d336d29637e35d1a73eac6f4
3DJ2_A,2008-09-16,174,482fc3414774e7e921c9b38d3d218205c6150765d336d29637e35d1a73eac6f4
3DKN_D,2008-08-19,20,ede2477b65ab7edc9e4c85ffdc4c514a2a7e77ced09490d4df7dcfb08b563fa2
3DKN_E,2008-08-19,17,cf0fbf7842ecf83d238bd76865867017e3c49258c987a1e3eb653c202517ebcc
3DKN_F,2008-08-19,32,8987a086c9c3de9b6c8a27e8b58f8151bdf41c21807e75e74f7b4537c3279c1f
3DS7_A,2009-02-17,67,4815c87cc7d7303e6803908666b82191e1f0828972b6ad3e171e4d00489c4c66
3DW4_A,2009-03-24,27,ef84716ab732e929d6b5daa79f8adf9bb4d157a50f3f8afa7abbf35283f18da8
3E5F_A,2008-10-07,53,4c7c0fe86e938927cb02882d9823e89b35168ad8a2e0de524a90f100200aad89
3EGZ_B,2008-10-28,65,983a99eb90f34c07ccb99fba0dd3bcffcae523247bdce97bb79c311e472cdd9a
3EOH_A,2008-10-28,412,36270eceaaba3218d40b6a474d13d73bd03596b72f22af5942c2eca5ac828aba
3EPL_E,2008-11-04,69,068f00c952e25ccbfef76d34abb1fb29c3845e4ea7c0e5e3e7894076812f2572
3EPL_F,2008-11-04,69,068f00c952e25ccbfef76d34abb1fb29c3845e4ea7c0e5e3e7894076812f2572
3F2W_X,2009-01-27,112,680a777292ddb1de394e61e37acde81e67f4cbc3f673844f0f1cd4a0216eae4f
3F4E_X,2009-01-27,54,d51a50adf2790e4d79a4c8a982def7bc2b9a5f5a61d8196361c218f940f4d990
3F4G_Y,2009-01-27,56,1f0fdb33eab58e3cb30c31140deb162b6e0a271adbff8d74936357085ede4a93
3FO4_A,2009-06-23,68,36586bde49756fa390c254df65f6a1a626d6c6523b349e39b3bd1763457b3d5a
3FO6_A,2009-06-23,68,590c997603511a4e6ca51a8ba60dd051a8e52cec2a499462ace4a81188cd1f28
3FOZ_C,2009-01-20,74,7d1121e5965f0d00cf5f79bcab63d5b46de4521e01d78519489ab7ecd0c7b05d
3FOZ_D,2009-01-20,69,afd6935af972576b2201d0c738882fddeab569aa629eaf854e7580803c9835cb
3FU2_B,2009-03-03,34,5920b3043f0000515e8647198d73a46f09209cdba92c9cbfdde39af1395a986f
3FU2_C,2009-03-03,34,5920b3043f0000515e8647198d73a46f09209cdba92c9cbfdde39af1395a986f
3FWO_A,2010-01-19,2765,7dace37f463f58899b8408b6af441f4172bc125b3c50ae8f506676f4ccaac570
3G6E_0,2009-04-28,2749,63173f6229aec12c58472e3405868ed4f099e7c7da37d7cb1f884cc6151ea595
3G8T_Q,2009-11-03,141,75333c175154b4ac67fa0eadecfb67412a149726b8b4e442f6ef06092096801e
3G9C_S,2009-11-03,141,f6b9f7f4ab91244b298ac5242dd1216510a8113746138b960cf6220ea1ea3d44
3GOG_A,2009-06-23,67,e529a8913d79b45de636e1ec1a3d58edd66b100fada886ef157cd3f58776b19d
3GS5_A,2009-04-21,25,83627ae861a6de2ffbe21f640307e5e61b5526b7fed606b15b36ef88f1c281c1
3GS5_C,2009-04-21,36,545703d13c4e6891823d5f66750f5c466e8bbac9ade5c1ad8d1fd4ed498b3f34
3GX3_A,2010-01-12,94,7f6472dc4f0dc3a6d2a6713e89cffc047deb661e197794e0d457df6ba17f25ad
3GX7_A,2010-01-12,94,f705ab41d44305fe28f08905fd831505d1bf2fccab98d5e4ad2457cc7dcbdff6
3HAX_E,2009-06-23,63,f1d31927149022fe270a92e38e3f4220a679db918168b9a6b9b7e4587862e756
3HAY_E,2009-06-23,71,3347102cf51d46bf448157f5de43d5e64f9f0beee000d9a28cc0fcf80d77c2af
3HHN_C,2009-11-24,137,4500bc730a0a5e57cb063ea7a721e695d47771d69b723bb7fd1d7457c972a2cd
3HL2_E,2009-10-06,90,4257b9c5bad2cfa8a7feb7eda5486d102096f6e01b11e1c4f591dafa12594d14
3I2R_C,2009-11-03,19,6f9cec5eb36aa82f7310feb000fb6dc4b386cdfed96112d0885320b0ee04a7b7
3I2U_B,2009-11-03,30,02a7df377cfa5e15c9f4b3afd9a0d037976597927816d6aac2f95e228c7b568b
3IAB_R,2010-01-26,46,1c700bfd43972ceb142fa80e77a27cea457e64eff367f5d2d8654cb23ca77ef0
3IBK_A,2010-05-12,12,28440b6394297d1e66cbbfea19d5b87f64593ec79a48f8372b989a70d13a2830
3ICQ_D,2009-08-25,67,46a7567aee9a6643b421bfa5b0e2c7bac0b3afabf28f86ff975208d3d8bfe420
3ICQ_E,2009-08-25,67,46a7567aee9a6643b421bfa5b0e2c7bac0b3afabf28f86ff975208d3d8bfe420
3ID5_D,2009-08-25,35,5d1424bcb846b37150fc3f491282bf17696768421e7006694ade8660fa2ad5fa
3IIN_B,2010-03-09,197,e22cb2dbd79ed60a6836baa03b75ff70f091a14626dde9a620fcf7b2054b6738
3IQN_A,2010-08-04,94,accb6962a370e5332db4066512e6a9fc693f28b9e2d6b4b88a2f6add21df2197
3IQR_A,2010-08-04,94,6341dad96ed0b82709d264a18fcd899396241b9453a55db240c700e2e41cc583
3IRW_R,2009-11-10,92,f645a90a8678b84bbd143fd296d64b8d51c7c080446556ddaeec9abcd9098436
3IVK_M,2010-03-02,128,4b10e4cd504f09d4708e52f6ff4f729a06634ed8a7a3da8364def76c4e159546
3IVN_B,2010-01-19,70,74250ce145d34f1cd30725497fed6a2bc3cfed799bf26e3abd4fc44b279ee1cc
3IWN_B,2009-11-10,93,eec7b7e2b797679d6edd0c92e654c5f87b48adeb142e633549d03684cc4af37b
3IYQ_A,2010-10-20,349,cd7aad2812ecea32a9e475a0805365c29ef5f0855dfff3a049e209ee662e8f6f
3IZ4_A,2010-10-20,377,e6eb48d86f86512c28a8db97e5f5cfcf51e6500e4c8b564547a23c49f9c4a277
3IZD_A,2010-12-01,151,b2d959965d7737483eaafa7a1c87933787f4c6bf65deb3cb7e7e7d6e73eda3d9
3IZZ_A,2011-03-30,59,0c24ded5e0a58b8ea522ca9105865831901afc716a6cd0a8cd257b6d82d9820f
3IZZ_B,2011-03-30,118,29e03af49f5eb0080164996612c938cf76f4a9b0578bf8100598ee828fdc5447
3IZZ_D,2011-03-30,60,55c18000c956e8184eac277e4318ce201f48fc45994b240c7b8210496f8fd911
3IZZ_E,2011-03-30,100,e4bd9a4cfebab658dba637f522ad7add9dd91134e59b5eca147da88b825bc8e1
3J0D_A,2012-04-25,50,46a93e0e7b966fb1992fa2c640494152cc8af2575df415eda7e36add4c57a372
3J0D_F,2012-04-25,19,5364859232443562c99f525f2f51393b7d65fe4a3e506afa7b7f0d75609c6db5
3J0E_A,2012-04-25,22,0961dffd8226c724735783ef256b0895dd57c5dbcef344acc69aed1cb547dc19
3J0E_B,2012-04-25,17,0a1b28151da01cc680c73822523298ce6404f60bcb4fc936112335272b064250
3J0E_C,2012-04-25,13,7390f2878464c2f0f9c0e5542db4f86f15b0d9dd2ce4f02359ba43b1f40fd3a1
3J0E_D,2012-04-25,19,685641ed48534fbe976e3044a665b6814ed3b45e8a2ef1062d762816298e9700
3J0L_1,2011-11-16,50,eb69602030bc6e9d5fdd5cebfa4a458261a8bd5e9d71ec83ab4258dbcacc7545
3J0L_8,2011-11-16,20,04431f2798d410d21dabdaa7e605ffe92125a8e308c3f698e6355156652dcc1b
3J0L_b,2011-11-16,12,00d9794ba299f8e110a7c06d5b60135d7a8b5e0806c43c2e424785f22ad5ed70
3J0O_2,2011-11-16,112,87e897d5327457ffb246a0534a76441b729dac572ad129de4212af4ea9304d08
3J0O_4,2011-11-16,14,6b793fcac60ff1c2e3ff9e25a6ba02b499ec38f397c4b43e5eb04be79dc13021
3J0O_6,2011-11-16,19,2032968b06668cb5806af33ae79fc1fffe151ff04b7b8bf81cc0b38b4a0db554
3J0O_7,2011-11-16,50,d0ae70944d12f672d765f14b81bbde7251810204082e5e68a475f979d3c57f92
3J0O_h,2011-11-16,111,ee69fd42d59603c2422ac117f6864f167db6a50da343988a8c400ea33ee515dd
3J0P_c,2011-11-16,17,26a7529cd5e2c37b9cc28c41b5c0afe7252bac7189e86b66013a2d8608b54f7f
3J0P_g,2011-11-16,31,06ab503facc989f36a507b14664b80e1a48fa7200db137c84f112b47e5bd19d0
3J0Q_3,2011-11-16,12,5cb4d543e401b31e777c500f8945a96ddb8bc05f665aec56241e71a4f4459997
3J0Q_9,2011-11-16,19,cda69f2aba2b0cfc17d8a8460c846effe52875c0f74babc80777c40bae8b33dc
3J0Q_a,2011-11-16,48,253ef95863caab3968812956e06f1bd14352e20a6e265ce547b4cf53ae1e76ba
3J16_J,2012-02-22,233,d3162d10d36130437a32fd4626c614a2473063909920b15dadb3b4f84553e927
3J16_K,2012-02-22,155,40d121ae81ed75f620b9fd9799ce3ef76d950ad0c2b8a866d36fa7f99adef6be
3J2C_M,2013-01-16,462,d5bd5c47d208e67f7145db29629c619c2b52f433db8b4f6624f7a52d7b885d3e
3J2C_N,2013-01-16,927,55b9b064b0ebe3668261744804a6d41b046fec8cc8915dd478d40ca00a6779e7
3J2C_O,2013-01-16,144,01a03adf82c956f9d9b1dc3ad113cca8e955fdc10d51047d91f541ee182272db
3J3V_A,2013-06-12,2884,50c7ee7e29a37e60af48687557f7fc4b4fd891900e32884d1cebc2b024b0e593
3J3V_B,2013-06-12,119,45cd8b1cadabb8113120575785adf6337763ff842bfd2f22f66132d5880325cc
3J3W_A,2013-06-12,2685,35e9b4247fb5b935dffee261974575dbf2e2d9e0708d3c16e2c67ff4e333d722
3J45_1,2013-10-23,63,0c88d2aedd33ea773067bec30cf2db2ca80c781280f2c8da7cb7bfca0154613c
3J45_2,2013-10-23,36,4980e228d2a8d6cc9a07a8d2e4c02f71d0b9bf77d5826b472afbf7717b055a64
3J45_3,2013-10-23,18,f478145c758e7a47a682a33be8caa654254049217f0ef2797694c4a12133e6da
3J45_4,2013-10-23,61,d2333c25e3fe86146b54a616e946afff07247cab0c93ce4b47485d0e5c24a01c
